,China,Germany,United States,Japan,"Korea, Republic of",France,Italy,Netherlands,Mexico,United Kingdom,"Taiwan, Province of China",Canada,Belgium,Russian Federation,Singapore,Spain,India,Switzerland,Malaysia,Australia,Viet Nam,Brazil,Thailand,Poland,Indonesia,Saudi Arabia,Czech Republic,Turkey,Ireland,Austria,Sweden,Hong Kong,United Arab Emirates,South Africa,Hungary,Norway,Philippines,Denmark,Slovakia,Finland,Chile,Romania,Iraq,Portugal,Argentina,Qatar,Israel,Nigeria,Ukraine,Peru
Canada,0.0,4654.0,10448.0,2654.0,3676.0,7921.0,3824.0,5852.0,2399.0,10675.0,2972.0,1168333.0,5968.0,0.0,9039.0,2699.0,3276.0,11388.0,1379.0,15832.0,1555.0,1378.0,703.0,1816.0,315.0,3693.0,2478.0,1314.0,18099.0,4474.0,6434.0,16199.0,13566.0,1423.0,3405.0,6251.0,12236.0,4949.0,2604.0,3773.0,2215.0,3333.0,0.0,9104.0,961.0,10334.0,0.0,4568.0,1913.0,1287.0
Belgium,0.0,13731.0,2243.0,1260.0,749.0,40013.0,14332.0,88222.0,600.0,8675.0,738.0,5968.0,4718282.0,0.0,2527.0,13070.0,312.0,29544.0,511.0,4143.0,306.0,1808.0,998.0,11792.0,289.0,1511.0,5086.0,6381.0,10744.0,13983.0,9562.0,1985.0,4375.0,1166.0,7472.0,8312.0,947.0,9253.0,6190.0,7394.0,1465.0,44339.0,0.0,28992.0,1192.0,2882.0,0.0,1185.0,3665.0,907.0
Russian Federation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,0.0,3157.0,4302.0,10292.0,8800.0,2656.0,2302.0,4751.0,287.0,9981.0,26843.0,9039.0,2527.0,0.0,4772337.0,1623.0,7387.0,9662.0,272336.0,35503.0,5762.0,362.0,8488.0,753.0,14663.0,16855.0,1163.0,557.0,8843.0,2811.0,3748.0,60545.0,28739.0,763.0,1158.0,5308.0,30056.0,4640.0,802.0,3640.0,442.0,884.0,0.0,1962.0,376.0,33038.0,0.0,669.0,515.0,304.0
Spain,0.0,8660.0,3316.0,1166.0,777.0,9049.0,15696.0,10020.0,3400.0,11360.0,591.0,2699.0,13070.0,0.0,1623.0,1074854.0,229.0,21241.0,425.0,3120.0,206.0,2739.0,310.0,3114.0,269.0,1241.0,3314.0,906.0,14848.0,8224.0,6800.0,1533.0,3543.0,505.0,3830.0,7739.0,1337.0,6653.0,3049.0,5678.0,10860.0,44581.0,0.0,26441.0,15275.0,2316.0,0.0,1179.0,3689.0,12016.0
India,0.0,556.0,780.0,248.0,215.0,213.0,403.0,502.0,152.0,1484.0,130.0,3276.0,312.0,0.0,7387.0,229.0,142229.0,574.0,1830.0,2661.0,257.0,221.0,231.0,149.0,501.0,13234.0,174.0,208.0,1835.0,312.0,479.0,600.0,36329.0,417.0,167.0,331.0,1054.0,320.0,133.0,275.0,95.0,224.0,0.0,615.0,144.0,29335.0,0.0,1277.0,280.0,167.0
Switzerland,0.0,67079.0,4693.0,3180.0,1968.0,41110.0,65202.0,21266.0,1359.0,15031.0,1540.0,11388.0,29544.0,0.0,9662.0,21241.0,574.0,6278710.0,1274.0,10447.0,681.0,3989.0,2987.0,14613.0,475.0,2325.0,14526.0,8002.0,15852.0,103987.0,24616.0,5560.0,6828.0,1747.0,40240.0,20481.0,1905.0,19279.0,35359.0,15945.0,3657.0,29161.0,0.0,241852.0,3379.0,5447.0,0.0,1558.0,3418.0,2707.0
Malaysia,0.0,772.0,827.0,2566.0,3422.0,498.0,806.0,914.0,193.0,2357.0,16889.0,1379.0,511.0,0.0,272336.0,425.0,1830.0,1274.0,2314968.0,13754.0,2327.0,186.0,7446.0,235.0,22449.0,16834.0,371.0,464.0,3736.0,634.0,716.0,18121.0,13943.0,390.0,326.0,812.0,5639.0,714.0,240.0,673.0,195.0,372.0,0.0,622.0,218.0,25694.0,0.0,1687.0,247.0,239.0
Australia,0.0,5747.0,6142.0,4713.0,4343.0,3684.0,5875.0,8011.0,483.0,27247.0,5936.0,15832.0,4143.0,0.0,35503.0,3120.0,2661.0,10447.0,13754.0,1780129.0,3032.0,1749.0,3810.0,1523.0,1580.0,2493.0,2560.0,1218.0,50323.0,5680.0,9471.0,21965.0,11931.0,4001.0,2571.0,8424.0,7257.0,7728.0,2187.0,6137.0,2907.0,1473.0,0.0,4518.0,1624.0,9406.0,0.0,1399.0,628.0,880.0
Viet Nam,0.0,1531.0,1064.0,17507.0,11846.0,516.0,181.0,438.0,181.0,521.0,13455.0,1555.0,306.0,0.0,5762.0,206.0,257.0,681.0,2327.0,3032.0,612688.0,315.0,907.0,368.0,437.0,757.0,2724.0,244.0,494.0,315.0,765.0,1179.0,1440.0,198.0,587.0,708.0,1249.0,501.0,1077.0,1092.0,149.0,438.0,0.0,234.0,247.0,642.0,0.0,490.0,232.0,214.0
Brazil,0.0,1222.0,1511.0,1641.0,262.0,1152.0,2131.0,1320.0,1254.0,1540.0,150.0,1378.0,1808.0,0.0,362.0,2739.0,221.0,3989.0,186.0,1749.0,315.0,610340.0,123.0,249.0,201.0,546.0,360.0,423.0,7857.0,959.0,703.0,277.0,1050.0,286.0,408.0,766.0,443.0,677.0,292.0,530.0,2247.0,469.0,0.0,27797.0,3259.0,803.0,0.0,1039.0,262.0,2123.0
Thailand,0.0,1281.0,710.0,3090.0,13850.0,604.0,520.0,1054.0,113.0,1185.0,3863.0,703.0,998.0,0.0,8488.0,310.0,231.0,2987.0,7446.0,3810.0,907.0,123.0,988236.0,190.0,588.0,544.0,309.0,365.0,972.0,1083.0,3222.0,2708.0,2584.0,177.0,347.0,3462.0,927.0,1882.0,229.0,2278.0,120.0,213.0,0.0,411.0,123.0,1614.0,0.0,638.0,212.0,149.0
Poland,0.0,26395.0,1133.0,431.0,408.0,2600.0,4140.0,33589.0,223.0,22410.0,349.0,1816.0,11792.0,0.0,753.0,3114.0,149.0,14613.0,235.0,1523.0,368.0,249.0,190.0,1953202.0,204.0,309.0,8194.0,744.0,35931.0,15110.0,12039.0,553.0,1322.0,242.0,3132.0,30301.0,331.0,14039.0,6209.0,3411.0,293.0,2459.0,0.0,3023.0,369.0,853.0,0.0,443.0,33472.0,227.0
Indonesia,0.0,415.0,324.0,1933.0,1628.0,219.0,327.0,881.0,210.0,327.0,7310.0,315.0,289.0,0.0,14663.0,269.0,501.0,475.0,22449.0,1580.0,437.0,201.0,588.0,204.0,442205.0,5071.0,202.0,440.0,235.0,344.0,250.0,13506.0,4581.0,197.0,278.0,264.0,945.0,233.0,203.0,224.0,169.0,444.0,0.0,390.0,191.0,2773.0,0.0,637.0,261.0,301.0
Saudi Arabia,0.0,2611.0,1328.0,1257.0,1257.0,1602.0,2647.0,2002.0,336.0,3190.0,1306.0,3693.0,1511.0,0.0,16855.0,1241.0,13234.0,2325.0,16834.0,2493.0,757.0,546.0,544.0,309.0,5071.0,682075.0,410.0,5474.0,3210.0,1817.0,3529.0,6344.0,141906.0,2196.0,388.0,2209.0,38643.0,1095.0,337.0,1126.0,294.0,858.0,0.0,1342.0,368.0,168090.0,0.0,4387.0,634.0,413.0
Czech Republic,0.0,9749.0,1278.0,918.0,836.0,2663.0,4446.0,5995.0,349.0,7859.0,684.0,2478.0,5086.0,0.0,1163.0,3314.0,174.0,14526.0,371.0,2560.0,2724.0,360.0,309.0,8194.0,202.0,410.0,3925843.0,849.0,9460.0,20745.0,4445.0,786.0,1689.0,290.0,10164.0,5338.0,490.0,5640.0,305718.0,4900.0,490.0,8101.0,0.0,3692.0,514.0,1006.0,0.0,424.0,41768.0,297.0
Turkey,0.0,14452.0,650.0,426.0,441.0,2940.0,1283.0,8235.0,226.0,2633.0,241.0,1314.0,6381.0,0.0,557.0,906.0,208.0,8002.0,464.0,1218.0,244.0,423.0,365.0,744.0,440.0,5474.0,849.0,830078.0,1844.0,14259.0,4782.0,475.0,4802.0,348.0,1077.0,3085.0,596.0,4158.0,751.0,2332.0,313.0,2016.0,0.0,905.0,408.0,6120.0,0.0,1726.0,2541.0,264.0
Ireland,0.0,10870.0,6761.0,1513.0,1239.0,6897.0,11827.0,14881.0,953.0,92677.0,1001.0,18099.0,10744.0,0.0,8843.0,14848.0,1835.0,15852.0,3736.0,50323.0,494.0,7857.0,972.0,35931.0,235.0,3210.0,9460.0,1844.0,12118661.0,11662.0,10915.0,4348.0,19662.0,4376.0,19119.0,11961.0,3492.0,10979.0,22371.0,8096.0,1771.0,51265.0,0.0,19395.0,1732.0,10496.0,0.0,6559.0,2262.0,496.0
Austria,0.0,94662.0,2710.0,1518.0,1145.0,6431.0,17629.0,17798.0,692.0,9074.0,904.0,4474.0,13983.0,0.0,2811.0,8224.0,312.0,103987.0,634.0,5680.0,315.0,959.0,1083.0,15110.0,344.0,1817.0,20745.0,14259.0,11662.0,8174253.0,16537.0,2169.0,4558.0,885.0,138438.0,12104.0,1365.0,13630.0,72087.0,10308.0,1390.0,91149.0,0.0,9027.0,1270.0,3203.0,0.0,1853.0,4890.0,812.0
Sweden,0.0,15602.0,3449.0,1445.0,1041.0,4514.0,5577.0,15420.0,441.0,10874.0,674.0,6434.0,9562.0,0.0,3748.0,6800.0,479.0,24616.0,716.0,9471.0,765.0,703.0,3222.0,12039.0,250.0,3529.0,4445.0,4782.0,10915.0,16537.0,3982458.0,2520.0,6753.0,1066.0,8973.0,128548.0,1212.0,67166.0,3572.0,68403.0,3325.0,11971.0,0.0,6697.0,1058.0,5082.0,0.0,1367.0,3261.0,1025.0
Hong Kong,0.0,2038.0,3248.0,10246.0,7227.0,2064.0,1983.0,3216.0,259.0,13491.0,53109.0,16199.0,1985.0,0.0,60545.0,1533.0,600.0,5560.0,18121.0,21965.0,1179.0,277.0,2708.0,553.0,13506.0,6344.0,786.0,475.0,4348.0,2169.0,2520.0,2987191.0,11489.0,584.0,737.0,2401.0,29552.0,2495.0,519.0,2162.0,391.0,566.0,0.0,1518.0,346.0,12785.0,0.0,846.0,389.0,282.0
United Arab Emirates,0.0,5178.0,3616.0,3520.0,3160.0,4320.0,6228.0,4720.0,557.0,13775.0,2650.0,13566.0,4375.0,0.0,28739.0,3543.0,36329.0,6828.0,13943.0,11931.0,1440.0,1050.0,2584.0,1322.0,4581.0,141906.0,1689.0,4802.0,19662.0,4558.0,6753.0,11489.0,1117179.0,6344.0,2121.0,4876.0,53588.0,4301.0,1683.0,3102.0,522.0,3768.0,0.0,5690.0,737.0,295897.0,0.0,22605.0,2479.0,568.0
South Africa,0.0,949.0,1074.0,160.0,346.0,706.0,618.0,2080.0,228.0,4054.0,222.0,1423.0,1166.0,0.0,763.0,505.0,417.0,1747.0,390.0,4001.0,198.0,286.0,177.0,242.0,197.0,2196.0,290.0,348.0,4376.0,885.0,1066.0,584.0,6344.0,2022262.0,329.0,921.0,489.0,719.0,221.0,604.0,241.0,317.0,0.0,1547.0,250.0,3858.0,0.0,8589.0,220.0,215.0
Hungary,0.0,30565.0,1472.0,793.0,785.0,2669.0,4709.0,14995.0,366.0,16668.0,440.0,3405.0,7472.0,0.0,1158.0,3830.0,167.0,40240.0,326.0,2571.0,587.0,408.0,347.0,3132.0,278.0,388.0,10164.0,1077.0,19119.0,138438.0,8973.0,737.0,2121.0,329.0,9214411.0,7808.0,287.0,11102.0,85618.0,6485.0,488.0,73915.0,0.0,3190.0,579.0,1354.0,0.0,632.0,17019.0,285.0
Norway,0.0,11594.0,3690.0,1298.0,1018.0,3943.0,5096.0,14412.0,427.0,12832.0,581.0,6251.0,8312.0,0.0,5308.0,7739.0,331.0,20481.0,812.0,8424.0,708.0,766.0,3462.0,30301.0,264.0,2209.0,5338.0,3085.0,11961.0,12104.0,128548.0,2401.0,4876.0,921.0,7808.0,12892663.0,3529.0,107686.0,8397.0,29324.0,2026.0,12517.0,0.0,9277.0,802.0,4068.0,0.0,772.0,2158.0,566.0
Philippines,0.0,992.0,2896.0,6991.0,4125.0,576.0,2486.0,1137.0,614.0,2213.0,7276.0,12236.0,947.0,0.0,30056.0,1337.0,1054.0,1905.0,5639.0,7257.0,1249.0,443.0,927.0,331.0,945.0,38643.0,490.0,596.0,3492.0,1365.0,1212.0,29552.0,53588.0,489.0,287.0,3529.0,700294.0,1612.0,229.0,1462.0,365.0,694.0,0.0,458.0,478.0,70279.0,0.0,1781.0,294.0,1127.0
Denmark,0.0,14590.0,2982.0,1330.0,881.0,3961.0,6547.0,14511.0,450.0,10440.0,670.0,4949.0,9253.0,0.0,4640.0,6653.0,320.0,19279.0,714.0,7728.0,501.0,677.0,1882.0,14039.0,233.0,1095.0,5640.0,4158.0,10979.0,13630.0,67166.0,2495.0,4301.0,719.0,11102.0,107686.0,1612.0,9084985.0,8541.0,18668.0,1371.0,28030.0,0.0,8961.0,2096.0,2946.0,0.0,644.0,3902.0,483.0
Slovakia,0.0,11562.0,1043.0,528.0,521.0,2162.0,4486.0,8509.0,309.0,16014.0,391.0,2604.0,6190.0,0.0,802.0,3049.0,133.0,35359.0,240.0,2187.0,1077.0,292.0,229.0,6209.0,203.0,337.0,305718.0,751.0,22371.0,72087.0,3572.0,519.0,1683.0,221.0,85618.0,8397.0,229.0,8541.0,9071279.0,3575.0,340.0,9291.0,0.0,2586.0,439.0,773.0,0.0,398.0,12005.0,234.0
Finland,0.0,8171.0,2147.0,1741.0,993.0,3160.0,4415.0,9228.0,419.0,6821.0,620.0,3773.0,7394.0,0.0,3640.0,5678.0,275.0,15945.0,673.0,6137.0,1092.0,530.0,2278.0,3411.0,224.0,1126.0,4900.0,2332.0,8096.0,10308.0,68403.0,2162.0,3102.0,604.0,6485.0,29324.0,1462.0,18668.0,3575.0,9068132.0,947.0,5381.0,0.0,5265.0,625.0,2758.0,0.0,1327.0,4180.0,418.0
Chile,0.0,1779.0,2311.0,494.0,369.0,1493.0,2023.0,1341.0,4182.0,902.0,236.0,2215.0,1465.0,0.0,442.0,10860.0,95.0,3657.0,195.0,2907.0,149.0,2247.0,120.0,293.0,169.0,294.0,490.0,313.0,1771.0,1390.0,3325.0,391.0,522.0,241.0,488.0,2026.0,365.0,1371.0,340.0,947.0,2269158.0,439.0,0.0,2443.0,18643.0,468.0,0.0,350.0,354.0,28517.0
Romania,0.0,68789.0,1688.0,521.0,423.0,14300.0,59631.0,21652.0,409.0,57742.0,307.0,3333.0,44339.0,0.0,884.0,44581.0,224.0,29161.0,372.0,1473.0,438.0,469.0,213.0,2459.0,444.0,858.0,8101.0,2016.0,51265.0,91149.0,11971.0,566.0,3768.0,317.0,73915.0,12517.0,694.0,28030.0,9291.0,5381.0,439.0,5119095.0,0.0,8676.0,631.0,3332.0,0.0,1084.0,2872.0,412.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,0.0,13243.0,2969.0,1181.0,724.0,42322.0,8703.0,18785.0,880.0,26369.0,418.0,9104.0,28992.0,0.0,1962.0,26441.0,615.0,241852.0,622.0,4518.0,234.0,27797.0,411.0,3023.0,390.0,1342.0,3692.0,905.0,19395.0,9027.0,6697.0,1518.0,5690.0,1547.0,3190.0,9277.0,458.0,8961.0,2586.0,5265.0,2443.0,8676.0,0.0,8997082.0,2462.0,5380.0,0.0,769.0,5133.0,1274.0
Argentina,0.0,1442.0,1488.0,417.0,343.0,1320.0,4058.0,1217.0,5546.0,889.0,233.0,961.0,1192.0,0.0,376.0,15275.0,144.0,3379.0,218.0,1624.0,247.0,3259.0,123.0,369.0,191.0,368.0,514.0,408.0,1732.0,1270.0,1058.0,346.0,737.0,250.0,579.0,802.0,478.0,2096.0,439.0,625.0,18643.0,631.0,0.0,2462.0,1863542.0,543.0,0.0,612.0,427.0,11511.0
Qatar,0.0,3871.0,3027.0,4034.0,3348.0,3871.0,4544.0,3254.0,427.0,8643.0,2360.0,10334.0,2882.0,0.0,33038.0,2316.0,29335.0,5447.0,25694.0,9406.0,642.0,803.0,1614.0,853.0,2773.0,168090.0,1006.0,6120.0,10496.0,3203.0,5082.0,12785.0,295897.0,3858.0,1354.0,4068.0,70279.0,2946.0,773.0,2758.0,468.0,3332.0,0.0,5380.0,543.0,2907174.0,0.0,6182.0,1470.0,528.0
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,0.0,2269.0,3573.0,406.0,623.0,1002.0,3427.0,1363.0,490.0,6997.0,409.0,4568.0,1185.0,0.0,669.0,1179.0,1277.0,1558.0,1687.0,1399.0,490.0,1039.0,638.0,443.0,637.0,4387.0,424.0,1726.0,6559.0,1853.0,1367.0,846.0,22605.0,8589.0,632.0,772.0,1781.0,644.0,398.0,1327.0,350.0,1084.0,0.0,769.0,612.0,6182.0,0.0,1623364.0,1398.0,385.0
Ukraine,0.0,5290.0,1125.0,358.0,516.0,1791.0,7682.0,2578.0,283.0,1917.0,201.0,1913.0,3665.0,0.0,515.0,3689.0,280.0,3418.0,247.0,628.0,232.0,262.0,212.0,33472.0,261.0,634.0,41768.0,2541.0,2262.0,4890.0,3261.0,389.0,2479.0,220.0,17019.0,2158.0,294.0,3902.0,12005.0,4180.0,354.0,2872.0,0.0,5133.0,427.0,1470.0,0.0,1398.0,1422270.0,337.0
Peru,0.0,964.0,2260.0,1259.0,425.0,856.0,4115.0,842.0,8049.0,503.0,201.0,1287.0,907.0,0.0,304.0,12016.0,167.0,2707.0,239.0,880.0,214.0,2123.0,149.0,227.0,301.0,413.0,297.0,264.0,496.0,812.0,1025.0,282.0,568.0,215.0,285.0,566.0,1127.0,483.0,234.0,418.0,28517.0,412.0,0.0,1274.0,11511.0,528.0,0.0,385.0,337.0,1441037.0
